auditId,scopeType,scopeId,scopeName
AUD-001,APPLICATION,APP-01,Payments API
AUD-001,API,API-001,Payment Processing API
AUD-001,ASSET,AST-001,PAY-API-01
AUD-002,APPLICATION,APP-01,Payments API
AUD-002,API,API-001,Payment Processing API
AUD-002,API,API-002,Payment Status API
AUD-002,ASSET,AST-001,PAY-API-01
AUD-002,ASSET,AST-002,PAY-API-02
AUD-003,APPLICATION,APP-02,CRM
AUD-004,APPLICATION,APP-14,Fraud Detection Engine
AUD-004,ASSET,AST-024,FRAUD-SVC-01
AUD-005,API,API-001,Payment Processing API
AUD-005,API,API-003,Refunds API
AUD-006,BUSINESS_UNIT,Infrastructure,Infrastructure — Production Servers
AUD-006,ASSET,AST-013,ESB-CORE-01
AUD-006,ASSET,AST-014,LINUX-PRD-07
AUD-006,ASSET,AST-015,LINUX-PRD-08
AUD-006,ASSET,AST-049,CORE-SW-01
AUD-007,CLOUD_ASSET,AWS-PROD-001,AWS Production
AUD-007,CLOUD_ASSET,CLD-001,AWS EC2 — Payments App Server
AUD-007,CLOUD_ASSET,CLD-002,AWS RDS — Payments Database
AUD-008,CLOUD_ASSET,AWS-PROD-001,AWS Production
AUD-009,APPLICATION,APP-05,Auth Service
AUD-009,ASSET,AST-011,AUTH-SVC-01
AUD-010,APPLICATION,APP-22,Mobile Banking App
AUD-010,API,API-018,Mobile Balance API
AUD-010,API,API-019,Mobile Transfer API
AUD-011,APPLICATION,APP-24,Identity Provider
AUD-011,ASSET,AST-040,IDP-01
AUD-012,APPLICATION,APP-17,HR Portal
AUD-013,APPLICATION,APP-18,Vendor Management Portal
AUD-014,APPLICATION,APP-19,Document Management System
AUD-015,API,API-020,Notification Dispatch API
AUD-015,API,API-021,Notification Webhook API
AUD-016,APPLICATION,APP-16,Treasury Management
AUD-016,ASSET,AST-028,TREAS-APP-01
AUD-017,ASSET,AST-009,DB-PRD-02
AUD-017,ASSET,AST-010,DB-PRD-03
AUD-018,APPLICATION,APP-15,Loan Origination System
AUD-018,ASSET,AST-026,LOAN-APP-01
AUD-019,APPLICATION,APP-06,Enterprise Service Bus
AUD-020,APPLICATION,APP-12,CDN
AUD-021,APPLICATION,APP-09,Batch Processing
AUD-021,ASSET,AST-018,BATCH-SRV-04
AUD-022,APPLICATION,APP-23,Analytics Data Warehouse
