IP,DNS,NetBIOS,OS,IP Status,QID,Title,Type,Severity,Port,Protocol,FQDN,CVE ID,CVSS3.1 Base,Threat,Solution,Exploitability,Category,First Detected,Last Detected,Times Detected,Vuln Status
10.12.4.21,PAY-API-01,PAY-API-01,RHEL 9.2,Active,150233,Remote Code Execution via OpenSSL 3.x — Heap Buffer Overflow,Confirmed,5,443,TCP,pay-api-01.corp.internal,CVE-2025-3333,9.8,An attacker can trigger a heap buffer overflow via a crafted TLS certificate chain enabling arbitrary code execution.,Upgrade OpenSSL to version 3.0.7 or later.,Exploit Available,General Remote Services,2026-09-11,2026-09-11,1,New
10.12.4.21,PAY-API-01,PAY-API-01,RHEL 9.2,Active,105842,Privilege Escalation via Kernel Flaw,Confirmed,5,0,TCP,pay-api-01.corp.internal,CVE-2025-1111,9.6,A flaw in the Linux kernel's namespace handling allows a local attacker to escalate privileges to root.,Apply the latest kernel security patch from the vendor.,Exploit Available,Local,2026-09-11,2026-09-11,3,Active
10.10.1.12,WEB-PRD-12,WEB-PRD-12,RHEL 8.7,Active,86341,Authentication Bypass in Apache HTTP Server,Confirmed,4,443,TCP,web-prd-12.corp.internal,CVE-2024-2222,8.8,An authentication bypass vulnerability in mod_proxy allows an attacker to bypass access control via a crafted path traversal sequence.,Upgrade Apache HTTP Server to the latest patched release.,No Exploit,Web Server,2026-09-11,2026-09-11,4,Active
10.12.9.5,AUTH-SVC-01,AUTH-SVC-01,Ubuntu 22.04,Active,238190,OpenSSH Pre-Auth Denial of Service via Malformed Packet Handling,Confirmed,4,22,TCP,auth-svc-01.corp.internal,CVE-2026-4417,7.5,A remote unauthenticated attacker can crash the sshd process by sending a specially crafted packet during key exchange.,Upgrade OpenSSH to version 9.9 or later.,No Exploit,General Remote Services,2026-09-11,2026-09-11,1,New
10.12.9.6,AUTH-SVC-02,AUTH-SVC-02,Ubuntu 22.04,Active,238190,OpenSSH Pre-Auth Denial of Service via Malformed Packet Handling,Confirmed,4,22,TCP,auth-svc-02.corp.internal,CVE-2026-4417,7.5,A remote unauthenticated attacker can crash the sshd process by sending a specially crafted packet during key exchange.,Upgrade OpenSSH to version 9.9 or later.,No Exploit,General Remote Services,2026-09-11,2026-09-11,1,New
10.20.8.44,DB-PRD-02,DB-PRD-02,RHEL 9.2,Active,372511,PostgreSQL Privilege Escalation via Insecure Extension Loading,Confirmed,4,5432,TCP,db-prd-02.corp.internal,CVE-2026-5102,8.1,A local database user can load an untrusted shared library extension to execute arbitrary code with superuser privileges.,Apply the vendor patch and restrict CREATE EXTENSION to trusted roles.,No Exploit,Databases,2026-09-11,2026-09-11,1,New
10.20.8.45,DB-PRD-03,DB-PRD-03,RHEL 9.2,Active,372511,PostgreSQL Privilege Escalation via Insecure Extension Loading,Confirmed,4,5432,TCP,db-prd-03.corp.internal,CVE-2026-5102,8.1,A local database user can load an untrusted shared library extension to execute arbitrary code with superuser privileges.,Apply the vendor patch and restrict CREATE EXTENSION to trusted roles.,No Exploit,Databases,2026-09-11,2026-09-11,1,New
10.16.2.17,LINUX-PRD-07,LINUX-PRD-07,RHEL 9.2,Active,91644,Unsupported Product Detected — CVE-2024-8822,Confirmed,5,0,TCP,linux-prd-07.corp.internal,CVE-2024-8822,9.1,The installed package version is affected by a known critical remote code execution vulnerability.,Update to the latest vendor-supported package version.,Exploit Available,General Remote Services,2026-09-11,2026-09-11,5,Active
10.10.1.22,PORTAL-WEB-02,PORTAL-WEB-02,Ubuntu 22.04,Active,150410,"Missing Security Headers (CSP, X-Frame-Options)",Potential,2,443,TCP,portal-web-02.corp.internal,CVE-2026-3609,4.3,The web application does not set recommended security headers leaving it more susceptible to clickjacking and XSS.,Configure the web server to send Content-Security-Policy and X-Frame-Options headers.,No Exploit,Web Application,2026-09-11,2026-09-11,2,Active
10.20.2.14,LOAN-APP-01,LOAN-APP-01,RHEL 8.7,Active,412207,Apache Struts Remote Code Execution via OGNL Injection,Confirmed,5,8443,TCP,loan-app-01.corp.internal,CVE-2026-6120,9.8,A crafted request can trigger OGNL expression evaluation leading to remote code execution.,Upgrade Apache Struts to the latest patched version.,Exploit Available,Web Application,2026-09-11,2026-09-11,1,New
10.20.3.15,LOAN-DB-01,LOAN-DB-01,RHEL 9.2,Active,372347,TLS 1.0/1.1 Protocol Still Enabled,Potential,3,1433,TCP,loan-db-01.corp.internal,,5.9,The server supports deprecated TLS protocol versions vulnerable to downgrade attacks.,Disable TLS 1.0 and 1.1; enforce TLS 1.2 or higher.,No Exploit,General Remote Services,2026-09-11,2026-09-11,3,Active
10.12.6.10,FRAUD-SVC-01,FRAUD-SVC-01,RHEL 9.2,Active,238844,Node.js Prototype Pollution in Dependency Chain,Confirmed,4,3000,TCP,fraud-svc-01.corp.internal,CVE-2026-6288,7.8,A crafted JSON payload can pollute Object.prototype leading to denial of service or remote code execution.,Update the affected npm package to the patched version.,No Exploit,Web Application,2026-09-11,2026-09-11,1,New
10.12.6.11,FRAUD-SVC-02,FRAUD-SVC-02,RHEL 9.2,Active,238844,Node.js Prototype Pollution in Dependency Chain,Confirmed,4,3000,TCP,fraud-svc-02.corp.internal,CVE-2026-6288,7.8,A crafted JSON payload can pollute Object.prototype leading to denial of service or remote code execution.,Update the affected npm package to the patched version.,No Exploit,Web Application,2026-09-11,2026-09-11,1,New
10.8.1.3,MAIL-SRV-01,MAIL-SRV-01,Ubuntu 22.04,Active,68159,SSL Certificate — Self-Signed Certificate,Potential,2,25,TCP,mail-srv-01.corp.internal,,3.7,The SSL certificate presented by this service is self-signed and not issued by a trusted CA.,Replace the self-signed certificate with one issued by a trusted internal or public CA.,No Exploit,General Remote Services,2026-09-11,2026-09-11,6,Active
10.22.5.14,BATCH-SRV-04,BATCH-SRV-04,RHEL 8.7,Active,105233,OpenSSL Denial of Service via Malformed X.509 Certificate,Confirmed,3,443,TCP,batch-srv-04.corp.internal,CVE-2026-7011,6.5,A malformed X.509 certificate chain can cause excessive CPU consumption leading to denial of service.,Upgrade OpenSSL to the latest patched release.,No Exploit,General Remote Services,2026-09-11,2026-09-11,1,New
10.16.5.10,K8S-PRD-01,K8S-PRD-01,Amazon Linux 2023,Active,412990,Kubernetes API Server Improper Authorization Check,Confirmed,4,6443,TCP,k8s-prd-01.corp.internal,CVE-2026-6845,8.2,A misconfigured RBAC binding allows a low-privilege service account to escalate to cluster-admin actions.,Review and restrict ClusterRoleBinding assignments; upgrade to the patched Kubernetes release.,No Exploit,General Remote Services,2026-09-11,2026-09-11,1,New
