auditFindingId,auditId,title,description,category,severity,status,assetId,applicationId,apiId,owner,assignedTo,dueDate,createdDate,riskScore,remediationId
AF-001,AUD-001,Session tokens do not expire after password reset,"Active sessions remain valid after a user resets their password, allowing continued access with a compromised session token.",Authentication,Critical,Closed,AST-001,APP-01,,Rahul Sharma,Rahul Sharma,,2025-08-10,92,
AF-002,AUD-001,Verbose error messages expose stack traces,"Unhandled exceptions return full stack traces to the client, disclosing internal implementation details.",Configuration,High,Closed,AST-001,APP-01,,Rahul Sharma,Rahul Sharma,,2025-08-10,74,
AF-003,AUD-001,Missing rate limiting on login endpoint,The login endpoint does not throttle repeated failed attempts from the same source.,Access Control,Medium,Closed,AST-001,APP-01,,Rahul Sharma,Rahul Sharma,,2025-08-11,52,
AF-004,AUD-001,Outdated TLS cipher suites accepted,The load balancer still accepts several deprecated TLS 1.1 cipher suites for backward compatibility.,Network Security,Low,Closed,AST-001,APP-01,,Rahul Sharma,Rahul Sharma,,2025-08-11,28,
AF-005,AUD-002,Hardcoded JWT signing secret found in configuration,A static JWT signing secret is committed in the application's configuration file rather than sourced from a secrets manager.,Authentication,Critical,In Remediation,AST-001,APP-01,,Rahul Sharma,Rahul Sharma,2026-09-25,2026-09-05,92,
AF-006,AUD-002,Refunds API missing authorization check on account ownership,The refunds endpoint does not verify that the authenticated caller owns the account associated with the refund request.,Authorization,Critical,Open,AST-002,APP-01,,Rahul Sharma,,2026-09-22,2026-09-06,92,
AF-007,AUD-002,Payment amount validated only on client side,"Server-side validation of the payment amount field is missing, relying solely on client-side checks.",Application Security,High,Open,AST-001,APP-01,,Rahul Sharma,,2026-09-28,2026-09-07,74,
AF-008,AUD-003,Customer PII exportable without approval workflow,Any CRM user can export full customer records to CSV without a manager approval step.,Data Protection,Medium,Closed,AST-004,APP-02,,Amit Kumar,Amit Kumar,,2026-05-10,52,
AF-009,AUD-004,Model decision logs retained indefinitely,"Fraud scoring decision logs, including customer PII, are retained with no defined deletion policy.",Data Protection,High,Open,AST-024,APP-14,,Rahul Sharma,,2026-09-30,2026-07-20,74,
AF-010,AUD-004,No documented model change approval process,Updates to the fraud scoring model are deployed without a documented review or sign-off process.,Process / Governance,Medium,Open,,APP-14,,,,,2026-07-22,52,
AF-011,AUD-005,API rate limiting not enforced on refunds endpoint,"The refunds API accepts an unbounded number of requests per client, with no rate limiting or throttling.",API Security,Medium,Open,,APP-01,API-003,Rahul Sharma,,2026-11-05,2026-10-16,52,
AF-012,AUD-005,API responses include internal correlation IDs,"Internal request-tracing identifiers are returned in API error responses, which are not needed by API consumers.",API Security,Low,Open,,APP-01,API-001,Rahul Sharma,,2026-11-10,2026-10-17,28,
AF-013,AUD-006,Critical OS patches missing on 3 production hosts,"Three production servers are missing security patches released more than 90 days ago, including a remote code execution fix.",Patch Management,Critical,Assigned,AST-014,,,Manish Tiwari,Manish Tiwari,2026-09-20,2026-06-10,92,
AF-014,AUD-006,Default SNMP community string in use,The core switch is configured with the default 'public' SNMP community string.,Configuration,High,Open,AST-049,,,Manish Tiwari,,2026-09-15,2026-06-12,74,
AF-015,AUD-006,Root login permitted over SSH,Direct root login over SSH is enabled on a production Linux host.,Access Control,High,Open,AST-015,,,Manish Tiwari,,2026-09-18,2026-06-12,74,
AF-016,AUD-007,Security group allows inbound SSH from 0.0.0.0/0,An EC2 security group in the production account permits SSH access from any source IP address.,Cloud Security,High,Open,AST-056,,,Vikram Patel,,2026-10-24,2026-10-11,74,
AF-017,AUD-007,CloudTrail logging disabled in one region,CloudTrail is not enabled in one of the secondary AWS regions used for disaster recovery.,Logging & Monitoring,Medium,Open,,,,Vikram Patel,,2026-10-27,2026-10-12,52,
AF-018,AUD-008,S3 bucket policy allows public read access,The fraud model artifacts S3 bucket was configured with a public-read bucket policy.,Cloud Security,Critical,Closed,AST-056,,,Rahul Sharma,Rahul Sharma,,2026-07-12,92,
AF-019,AUD-008,IAM users with unused access keys older than 180 days,Several IAM users retain access keys that have not been rotated or used in over 180 days.,Access Control,Medium,Closed,,,,Vikram Patel,Vikram Patel,,2026-07-13,52,
AF-020,AUD-009,Password complexity policy not enforced,Users can set passwords that do not meet the organization's minimum complexity requirements.,Authentication,High,In Remediation,AST-011,APP-05,,Vikram Patel,Vikram Patel,2026-09-20,2026-08-05,74,
AF-021,AUD-009,MFA not enforced for administrative accounts,"Administrative accounts can sign in with a password only, without multi-factor authentication.",Authentication,Critical,In Remediation,AST-011,APP-05,,Vikram Patel,Vikram Patel,2026-09-18,2026-08-06,92,
AF-022,AUD-010,Biometric login fallback allows unlimited PIN attempts,"When biometric authentication fails, the app falls back to a PIN with no attempt limit or lockout.",Authentication,High,Open,,APP-22,,Neha Gupta,,2026-11-20,2026-11-02,74,
AF-023,AUD-010,Transfer confirmation screen displays full account number,The transfer confirmation screen shows the full destination account number instead of a masked version.,Data Protection,Medium,Open,,APP-22,,Neha Gupta,,2026-11-25,2026-11-03,52,
AF-024,AUD-011,Refresh tokens never expire,"Issued refresh tokens have no expiry, allowing indefinite session renewal if a token is leaked.",Authentication,Critical,Open,AST-040,APP-24,,Vikram Patel,,2026-09-25,2026-07-08,92,
AF-025,AUD-014,Uploaded documents not scanned for malware,The document upload pipeline does not run an antivirus/malware scan before storing files.,Application Security,Medium,Closed,AST-032,APP-19,,Neha Gupta,Neha Gupta,,2026-03-05,52,
AF-026,AUD-015,Webhook endpoint does not validate signature,"Inbound webhook payloads are processed without verifying an HMAC signature, allowing spoofed events.",API Security,High,Open,,APP-20,API-021,Vikram Patel,,2026-10-19,2026-10-06,74,
AF-027,AUD-016,Single approver can both create and authorize settlements,"The settlement workflow does not enforce maker-checker segregation of duties, allowing one user to both initiate and approve high-value transfers.",Process / Governance,Critical,Open,AST-028,APP-16,,Priyanka Desai,,2026-09-15,2026-07-28,92,
AF-028,AUD-018,Applicant SSN stored in plaintext in application logs,Loan application logs include the applicant's social security number in cleartext.,Data Protection,High,Open,AST-026,APP-15,,Priya Nair,,2026-09-25,2026-08-18,74,
AF-029,AUD-019,Service account credentials shared across integration jobs,"A single service account credential is reused across multiple unrelated integration jobs, making revocation and auditing difficult.",Access Control,Medium,Open,,APP-06,,Manish Tiwari,,2026-12-15,2026-12-02,52,
AF-030,AUD-020,Cache headers allow caching of authenticated responses,Some authenticated API responses are served with cache-control headers that permit shared caching.,Configuration,Low,Closed,,APP-12,,Vikram Patel,Vikram Patel,,2026-02-04,28,
AF-031,AUD-021,Batch job runs with root privileges unnecessarily,Nightly batch jobs execute as root when the file operations they perform do not require elevated privileges.,Access Control,Medium,Open,AST-018,APP-09,,Deepika Rao,,2026-10-15,2026-09-30,52,
AF-032,AUD-021,SFTP transfers use password authentication only,File transfers to the batch server rely on password-based SFTP authentication rather than key-based auth.,Network Security,Low,Open,AST-018,APP-09,,Deepika Rao,,2026-10-20,2026-10-01,28,
AF-033,AUD-022,Analyst role has write access to raw ingestion tables,The read-only analyst role is inadvertently granted write access to the raw data ingestion tables.,Access Control,Medium,Open,,APP-23,,Deepika Rao,,2026-12-05,2026-11-18,52,
AF-034,AUD-017,Database audit logging not enabled,"Native database audit logging is disabled on the core banking database, limiting forensic visibility into data access.",Logging & Monitoring,High,Open,AST-009,,,Priya Nair,,2026-12-01,2026-11-12,74,
AF-035,AUD-017,Database service account uses shared credentials,The same database service account credential is used by multiple application services.,Access Control,Medium,Open,AST-010,,,Priya Nair,,2026-12-05,2026-11-13,52,
AF-036,AUD-006,No centralized log aggregation for production servers,"Production server logs are stored locally with no forwarding to a central log aggregation platform, limiting incident detection.",Logging & Monitoring,Medium,Open,AST-014,,,Manish Tiwari,,2026-09-22,2026-06-14,52,
AF-037,AUD-009,Session tokens not invalidated on logout,"Logging out of the auth service does not revoke the issued session token server-side, allowing reuse until natural expiry.",Authentication,Medium,In Remediation,AST-011,,,Vikram Patel,Vikram Patel,2026-09-22,2026-08-08,52,
AF-038,AUD-002,CORS policy allows any origin on internal admin API,The internal admin configuration API returns Access-Control-Allow-Origin: * instead of restricting to trusted origins.,API Security,High,Open,AST-035,APP-21,,Vikram Patel,,2026-09-26,2026-09-08,74,
AF-039,AUD-011,No account lockout after repeated failed logins,The identity provider does not lock or throttle accounts after repeated failed authentication attempts.,Authentication,High,Open,AST-040,,,Vikram Patel,,2026-09-28,2026-07-10,74,
AF-040,AUD-016,Treasury settlement API lacks transaction-level audit trail,Individual treasury settlement transactions are not logged with sufficient detail to reconstruct an audit trail.,Logging & Monitoring,High,Open,AST-028,,,Priyanka Desai,,2026-09-18,2026-07-30,74,
