relationshipId,sourceType,sourceId,sourceName,relationshipType,targetType,targetId,targetName,status
REL-001,APPLICATION,APP-01,Payments API,EXPOSES,API,API-001,Payment Processing API,Active
REL-002,APPLICATION,APP-01,Payments API,EXPOSES,API,API-002,Payment Status API,Active
REL-003,APPLICATION,APP-01,Payments API,EXPOSES,API,API-003,Refunds API,Active
REL-004,APPLICATION,APP-02,CRM,EXPOSES,API,API-004,Contacts API,Active
REL-005,APPLICATION,APP-02,CRM,EXPOSES,API,API-005,Lead Capture API,Active
REL-006,APPLICATION,APP-03,Digital Portal,EXPOSES,API,API-006,Digital Portal Content API,Active
REL-007,APPLICATION,APP-03,Digital Portal,EXPOSES,API,API-007,Digital Portal Search API,Active
REL-008,APPLICATION,APP-04,Core Banking DB,EXPOSES,API,API-008,Core Banking DB API,Active
REL-009,APPLICATION,APP-05,Auth Service,EXPOSES,API,API-009,Auth Session API,Active
REL-010,APPLICATION,APP-05,Auth Service,EXPOSES,API,API-010,Token Introspection API,Active
REL-011,APPLICATION,APP-06,Enterprise Service Bus,EXPOSES,API,API-011,Enterprise Service Bus API,Active
REL-012,APPLICATION,APP-07,Core Infrastructure,EXPOSES,API,API-012,Core Infrastructure API 1,Active
REL-013,APPLICATION,APP-07,Core Infrastructure,EXPOSES,API,API-013,Core Infrastructure API 2,Active
REL-014,APPLICATION,APP-08,Customer Portal,EXPOSES,API,API-014,Customer Portal API,Active
REL-015,APPLICATION,APP-09,Batch Processing,EXPOSES,API,API-015,Batch Processing API 1,Active
REL-016,APPLICATION,APP-09,Batch Processing,EXPOSES,API,API-016,Batch Processing API 2,Active
REL-017,APPLICATION,APP-10,Email Gateway,EXPOSES,API,API-017,Email Gateway API,Active
REL-018,APPLICATION,APP-11,Log Aggregator,EXPOSES,API,API-018,Log Aggregator API 1,Active
REL-019,APPLICATION,APP-11,Log Aggregator,EXPOSES,API,API-019,Log Aggregator API 2,Active
REL-020,APPLICATION,APP-12,CDN,EXPOSES,API,API-020,CDN API,Active
REL-021,APPLICATION,APP-13,Dev Sandbox,EXPOSES,API,API-021,Dev Sandbox API 1,Active
REL-022,APPLICATION,APP-13,Dev Sandbox,EXPOSES,API,API-022,Dev Sandbox API 2,Active
REL-023,APPLICATION,APP-14,Fraud Detection Engine,EXPOSES,API,API-023,Fraud Scoring API,Active
REL-024,APPLICATION,APP-14,Fraud Detection Engine,EXPOSES,API,API-024,Fraud Case API,Active
REL-025,APPLICATION,APP-15,Loan Origination System,EXPOSES,API,API-025,Loan Application API,Active
REL-026,APPLICATION,APP-15,Loan Origination System,EXPOSES,API,API-026,Loan Status API,Active
REL-027,APPLICATION,APP-16,Treasury Management,EXPOSES,API,API-027,Treasury Positions API,Active
REL-028,APPLICATION,APP-16,Treasury Management,EXPOSES,API,API-028,Treasury Settlement API,Active
REL-029,APPLICATION,APP-17,HR Portal,EXPOSES,API,API-029,HR Portal API 1,Active
REL-030,APPLICATION,APP-17,HR Portal,EXPOSES,API,API-030,HR Portal API 2,Active
REL-031,APPLICATION,APP-18,Vendor Management Portal,EXPOSES,API,API-031,Vendor Management Portal API,Active
REL-032,APPLICATION,APP-19,Document Management System,EXPOSES,API,API-032,Document Search API,Active
REL-033,APPLICATION,APP-19,Document Management System,EXPOSES,API,API-033,Document Upload API,Active
REL-034,APPLICATION,APP-20,Notification Service,EXPOSES,API,API-034,Notification Dispatch API,Active
REL-035,APPLICATION,APP-20,Notification Service,EXPOSES,API,API-035,Notification Webhook API,Active
REL-036,APPLICATION,APP-21,API Gateway Platform,EXPOSES,API,API-036,Gateway Routing API,Active
REL-037,APPLICATION,APP-21,API Gateway Platform,EXPOSES,API,API-037,Gateway Config API,Active
REL-038,APPLICATION,APP-22,Mobile Banking App,EXPOSES,API,API-038,Mobile Balance API,Active
REL-039,APPLICATION,APP-22,Mobile Banking App,EXPOSES,API,API-039,Mobile Transfer API,Active
REL-040,APPLICATION,APP-23,Analytics Data Warehouse,EXPOSES,API,API-040,Analytics Query API,Active
REL-041,APPLICATION,APP-24,Identity Provider,EXPOSES,API,API-041,Identity Token API,Active
REL-042,APPLICATION,APP-24,Identity Provider,EXPOSES,API,API-042,Identity User API,Active
REL-043,APPLICATION,APP-01,Payments API,RUNS_ON,ASSET,AST-001,PAY-API-01,Active
REL-044,APPLICATION,APP-01,Payments API,RUNS_ON,ASSET,AST-002,PAY-API-02,Active
REL-045,APPLICATION,APP-01,Payments API,RUNS_ON,ASSET,AST-003,PAY-API-DR,Active
REL-046,APPLICATION,APP-01,Payments API,CONNECTS_TO,DATABASE,AST-044,PAY-DB-01,Active
REL-047,APPLICATION,APP-01,Payments API,RUNS_ON,ASSET,AST-051,LB-PROD-01,Active
REL-048,APPLICATION,APP-01,Payments API,RUNS_ON,ASSET,AST-052,K8S-PAYMENTS-POD-01,Active
REL-049,APPLICATION,APP-01,Payments API,RUNS_ON,ASSET,AST-055,AWS-RDS-PAYMENTS-01,Active
REL-050,APPLICATION,APP-01,Payments API,RUNS_ON,ASSET,AST-058,PAYMENTS-APP-01,Active
REL-051,APPLICATION,APP-01,Payments API,USES,REPOSITORY,payments-api,payments-api,Active
REL-052,APPLICATION,APP-02,CRM,RUNS_ON,ASSET,AST-004,CRM-APP-01,Active
REL-053,APPLICATION,APP-02,CRM,RUNS_ON,ASSET,AST-005,CRM-APP-03,Active
REL-054,APPLICATION,APP-02,CRM,CONNECTS_TO,DATABASE,AST-006,CRM-DB-01,Active
REL-055,APPLICATION,APP-02,CRM,RUNS_ON,ASSET,AST-043,CRM-APP-02,Active
REL-056,APPLICATION,APP-02,CRM,USES,REPOSITORY,crm-platform,crm-platform,Active
REL-057,APPLICATION,APP-03,Digital Portal,RUNS_ON,ASSET,AST-007,WEB-PRD-12,Active
REL-058,APPLICATION,APP-03,Digital Portal,RUNS_ON,ASSET,AST-008,WEB-PRD-13,Active
REL-059,APPLICATION,APP-03,Digital Portal,USES,REPOSITORY,digital-portal,digital-portal,Active
REL-060,APPLICATION,APP-04,Core Banking DB,CONNECTS_TO,DATABASE,AST-009,DB-PRD-02,Active
REL-061,APPLICATION,APP-04,Core Banking DB,CONNECTS_TO,DATABASE,AST-010,DB-PRD-03,Active
REL-062,APPLICATION,APP-04,Core Banking DB,USES,REPOSITORY,core-banking-db,core-banking-db,Active
REL-063,APPLICATION,APP-05,Auth Service,RUNS_ON,ASSET,AST-011,AUTH-SVC-01,Active
REL-064,APPLICATION,APP-05,Auth Service,RUNS_ON,ASSET,AST-012,AUTH-SVC-02,Active
REL-065,APPLICATION,APP-05,Auth Service,USES,REPOSITORY,auth-service,auth-service,Active
REL-066,APPLICATION,APP-06,Enterprise Service Bus,RUNS_ON,ASSET,AST-013,ESB-CORE-01,Active
REL-067,APPLICATION,APP-06,Enterprise Service Bus,USES,REPOSITORY,esb-integration-layer,esb-integration-layer,Active
REL-068,APPLICATION,APP-07,Core Infrastructure,RUNS_ON,ASSET,AST-014,LINUX-PRD-07,Active
REL-069,APPLICATION,APP-07,Core Infrastructure,RUNS_ON,ASSET,AST-015,LINUX-PRD-08,Active
REL-070,APPLICATION,APP-07,Core Infrastructure,RUNS_ON,ASSET,AST-016,K8S-PRD-01,Active
REL-071,APPLICATION,APP-07,Core Infrastructure,RUNS_ON,ASSET,AST-049,CORE-SW-01,Active
REL-072,APPLICATION,APP-07,Core Infrastructure,RUNS_ON,ASSET,AST-050,EDGE-FW-01,Active
REL-073,APPLICATION,APP-07,Core Infrastructure,USES,REPOSITORY,core-infra-tools,core-infra-tools,Active
REL-074,APPLICATION,APP-08,Customer Portal,RUNS_ON,ASSET,AST-017,PORTAL-WEB-02,Active
REL-075,APPLICATION,APP-08,Customer Portal,RUNS_ON,ASSET,AST-060,UNMANAGED-WEB-04,Active
REL-076,APPLICATION,APP-08,Customer Portal,USES,REPOSITORY,customer-portal,customer-portal,Active
REL-077,APPLICATION,APP-09,Batch Processing,RUNS_ON,ASSET,AST-018,BATCH-SRV-04,Active
REL-078,APPLICATION,APP-09,Batch Processing,RUNS_ON,ASSET,AST-019,BATCH-SRV-05,Active
REL-079,APPLICATION,APP-09,Batch Processing,USES,REPOSITORY,batch-processing-jobs,batch-processing-jobs,Active
REL-080,APPLICATION,APP-10,Email Gateway,RUNS_ON,ASSET,AST-020,MAIL-SRV-01,Active
REL-081,APPLICATION,APP-10,Email Gateway,USES,REPOSITORY,email-gateway,email-gateway,Active
REL-082,APPLICATION,APP-11,Log Aggregator,RUNS_ON,ASSET,AST-021,LOGS-AGG-01,Active
REL-083,APPLICATION,APP-11,Log Aggregator,RUNS_ON,ASSET,AST-059,SHADOW-SRV-01,Active
REL-084,APPLICATION,APP-11,Log Aggregator,USES,REPOSITORY,log-aggregator,log-aggregator,Active
REL-085,APPLICATION,APP-12,CDN,RUNS_ON,ASSET,AST-022,STATIC-CDN-03,Active
REL-086,APPLICATION,APP-12,CDN,USES,REPOSITORY,cdn-edge-config,cdn-edge-config,Active
REL-087,APPLICATION,APP-13,Dev Sandbox,RUNS_ON,ASSET,AST-023,DEV-APP-08,Active
REL-088,APPLICATION,APP-13,Dev Sandbox,RUNS_ON,ASSET,AST-045,DEV-APP-09,Active
REL-089,APPLICATION,APP-13,Dev Sandbox,RUNS_ON,ASSET,AST-046,CORP-LT-1042,Active
REL-090,APPLICATION,APP-13,Dev Sandbox,RUNS_ON,ASSET,AST-047,CORP-LT-1043,Active
REL-091,APPLICATION,APP-13,Dev Sandbox,USES,REPOSITORY,dev-sandbox,dev-sandbox,Active
REL-092,APPLICATION,APP-14,Fraud Detection Engine,RUNS_ON,ASSET,AST-024,FRAUD-SVC-01,Active
