id,vulnerabilityId,action,owner,targetDate,opened,status,progress,validationResult,lastScanDate,lastScanResult,checklist,comments,evidence,changeRequest,incident
REM-0001,VULN-0001,Upgrade XYZ component to version 4.2.1,Rahul Sharma,2026-08-19,2026-08-12,In Progress,80,Pending,2026-09-09,Still Vulnerable,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised (CR-2026-1842)"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]","[{""id"":""c1"",""user"":""Rahul Sharma"",""time"":""2026-09-09 14:32"",""text"":""Patch deployed via CI pipeline at 14:20 UTC. Awaiting re-scan confirmation from Qualys.""},{""id"":""c2"",""user"":""Amit Kumar"",""time"":""2026-09-08 11:05"",""text"":""CR-2026-1842 approved by CAB. Scheduled deployment window: 09 Sep 2026, 13:00-15:00 UTC.""},{""id"":""c3"",""user"":""Tanmay Singh"",""time"":""2026-09-07 09:20"",""text"":""SLA escalated. This finding is 3 days overdue. Rahul - please confirm patch timeline.""}]","[{""id"":""e1"",""name"":""patch-deployment-log-0909.txt"",""size"":""14 KB"",""date"":""2026-09-09""},{""id"":""e2"",""name"":""change-request-CR-2026-1842.pdf"",""size"":""128 KB"",""date"":""2026-09-08""},{""id"":""e3"",""name"":""pre-patch-scan-result.xml"",""size"":""84 KB"",""date"":""2026-09-07""}]",CR-2026-1842,INC-2026-0912
REM-0002,VULN-0046,Remediate insecure direct object reference in api on AST-040,Rajiv Sinha,2026-08-20,2026-07-21,Closed,100,Passed,2026-08-10,Not Detected,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":true},{""id"":""5"",""label"":""Closure and sign-off"",""done"":true}]",[],[],CR-2026-1194,
REM-0003,VULN-0052,Remediate remote code execution via openssl on AST-010,Amit Kumar,2026-05-20,2026-05-13,Assigned,24,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0004,VULN-0020,Remediate weak tls configuration (tls 1.0) on AST-014,Sanya Mehta,2026-05-29,2026-04-29,Assigned,14,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":false},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0005,VULN-0032,"Remediate missing security headers (csp, hsts) on AST-025",Karan Mehra,2026-08-30,2026-07-31,Closed,100,Passed,2026-08-20,Not Detected,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":true},{""id"":""5"",""label"":""Closure and sign-off"",""done"":true}]",[],[],CR-2026-1715,
REM-0006,VULN-0034,Remediate server-side request forgery in api gateway on AST-037,Amit Kumar,2026-08-07,2026-07-23,Validation,92,Pending,2026-08-12,Still Vulnerable,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":true},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],CR-2026-1179,
REM-0007,VULN-0102,Remediate log4shell variant — remote code execution on AST-002,Anita Rao,2026-06-25,2026-06-18,Assigned,15,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":false},{""id"":""2"",""label"":""Change request raised"",""done"":false},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],,
REM-0008,VULN-0097,Remediate server-side request forgery in api gateway on AST-008,Manish Tiwari,2026-05-17,2026-05-10,In Progress,59,Not Requested,,,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":false},{""id"":""4"",""label"":""Validation scan requested"",""done"":false},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],CR-2026-1867,
REM-0009,VULN-0026,Remediate cross-site scripting in react on AST-027,Karan Mehra,2026-06-23,2026-05-24,Validation,94,Pending,2026-06-13,Still Vulnerable,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":true},{""id"":""5"",""label"":""Closure and sign-off"",""done"":false}]",[],[],CR-2026-1950,
REM-0010,VULN-0075,Remediate sql injection in spring framework on AST-009,Neha Gupta,2026-04-26,2026-04-11,Closed,100,Passed,2026-05-01,Not Detected,"[{""id"":""1"",""label"":""Patch identified and validated"",""done"":true},{""id"":""2"",""label"":""Change request raised"",""done"":true},{""id"":""3"",""label"":""Patch deployed to production"",""done"":true},{""id"":""4"",""label"":""Validation scan requested"",""done"":true},{""id"":""5"",""label"":""Closure and sign-off"",""done"":true}]",[],[],CR-2026-1573,
