id,cve,title,description,severity,cvss,assetId,applicationId,scanner,pluginId,port,protocol,firstSeen,lastSeen,status,owner,dueDate,environment,internetExposed,exploitAvailable,businessCriticality,dataSensitivity,riskScore,epssScore,cwe,isDuplicate,parentFindingId,falsePositiveReason,affectedComponent,findingType,assessmentType,repository,branch,fileName,lineNumber,codeSnippet,endpoint,httpMethod,parameter,requestSample,responseSample,packageName,packageVersion,ecosystem,vulnerableVersion,fixedVersion,dependencyType,dependencyPath,license,apiId,dependencyId
VULN-0001,CVE-2025-3333,Remote Code Execution via OpenSSL 3.x — Heap Buffer Overflow,"Remote code execution vulnerability affecting OpenSSL versions 3.0.0-3.0.6. An attacker can trigger a heap buffer overflow via a crafted TLS certificate chain, enabling arbitrary code execution with the privileges of the affected process.",Critical,9.8,AST-001,APP-01,Qualys,QID-730829,443,HTTPS/TLS,2026-08-12,2026-09-09,Remediating,Rahul Sharma,2026-08-19,Production,true,true,Critical,High,96,0.964,CWE-94 (Code Injection),false,,,libssl.so.3 — OpenSSL 3.0.4,VAPT,External Network Penetration Test,,,,,,,,,,,,,,,,,,,,
VULN-0002,CVE-2025-1111,Privilege Escalation via Kernel Flaw,A flaw in the Linux kernel's namespace handling allows a local attacker to escalate privileges to root via a crafted set of unshare() and clone() syscalls.,Critical,9.6,AST-001,APP-01,Qualys,QID-812204,443,HTTPS/TLS,2026-08-28,2026-09-08,Triaged,Amit Kumar,2026-09-04,Production,true,true,Critical,High,91,0.812,CWE-269 (Improper Privilege Management),false,,,Linux kernel 5.15.x,VAPT,External Network Penetration Test,,,,,,,,,,,,,,,,,,,,
VULN-0003,CVE-2025-1111,Privilege Escalation via Kernel Flaw,A flaw in the Linux kernel's namespace handling allows a local attacker to escalate privileges to root via a crafted set of unshare() and clone() syscalls.,Critical,9.6,AST-001,APP-01,Tenable,TIO-994102,443,HTTPS/TLS,2026-09-08,2026-09-08,New,,2026-09-15,Production,true,true,Critical,High,91,0.812,CWE-269 (Improper Privilege Management),false,,,Linux kernel 5.15.x,VAPT,External Network Penetration Test,,,,,,,,,,,,,,,,,,,,
VULN-0004,CVE-2024-2222,Authentication Bypass in Apache HTTP Server,An authentication bypass vulnerability in Apache HTTP Server's mod_proxy allows an attacker to bypass access control restrictions via a crafted path traversal sequence in the request URI.,High,8.8,AST-007,APP-03,Nessus,NES-445218,443,HTTPS,2026-07-29,2026-09-09,Potential False Positive,Neha Gupta,2026-08-13,Production,true,false,Critical,Medium,88,0.41,CWE-287 (Improper Authentication),false,,Configuration is not applicable to the affected environment.,mod_proxy — Apache HTTP 2.4.x,VAPT,External Network Penetration Test,,,,,,,,,,,,,,,,,,,,
VULN-0005,CVE-2024-8822,Buffer Overflow in glibc,A heap-based buffer overflow in glibc's dynamic loader allows local privilege escalation via a crafted shared object.,Critical,9.1,AST-014,APP-07,Tenable,TIO-771230,22,SSH,2026-08-07,2026-09-09,Remediating,Manish Tiwari,2026-08-14,Production,false,true,High,Medium,93,0.55,CWE-120 (Buffer Overflow),false,,,glibc 2.35,VAPT,Internal Network Vulnerability Assessment,,,,,,,,,,,,,,,,,,,,
VULN-0006,CVE-2026-9973,Server-Side Request Forgery in API Gateway,Server-Side Request Forgery in API Gateway affecting LOAN-DB-01. Category: SSRF. Identified during routine Nessus scan.,Critical,9.7,AST-027,APP-15,Nessus,NES-704243,80,HTTP,2026-07-31,2026-08-03,Validation,Rajiv Sinha,2026-08-07,Production,false,true,Critical,High,97,0.85,CWE-918 (Server-Side Request Forgery),false,,,,VAPT,Internal Network Vulnerability Assessment,,,,,,,,,,,,,,,,,,,,
VULN-0007,CVE-2026-1503,Outdated SSL Certificate Chain,Outdated SSL Certificate Chain affecting MOBILE-APP-02. Category: Certificate Management. Identified during routine Tenable scan.,Low,3.3,AST-038,APP-22,Tenable,TEN-554462,5432,HTTP,2026-04-08,2026-04-08,Closed,Priya Nair,2026-06-07,Production,false,false,Critical,Medium,16,0.58,CWE-295 (Improper Certificate Validation),false,,,,VAPT,Internal Network Vulnerability Assessment,,,,,,,,,,,,,,,,,,,,
VULN-0008,CVE-2026-3609,"Missing Security Headers (CSP, HSTS)","Missing Security Headers (CSP, HSTS) affecting FRAUD-SVC-02. Category: Security Misconfiguration. Identified during routine Rapid7 scan.",Medium,6.5,AST-025,APP-14,Rapid7,RAP-539845,22,HTTPS,2026-08-09,2026-08-09,Triaged,Tanmay Singh,2026-09-08,Production,false,false,Low,High,34,0.33,CWE-693 (Protection Mechanism Failure),false,,,,VAPT,Internal Network Vulnerability Assessment,,,,,,,,,,,,,,,,,,,,
VULN-0009,CVE-2026-3152,Unpatched CVE in Third-Party Library,Unpatched CVE in Third-Party Library affecting TREAS-APP-01. Category: Vulnerable Dependency. Identified during routine Rapid7 scan.,High,8.5,AST-028,APP-16,Rapid7,RAP-299407,3306,HTTPS,2026-07-07,2026-07-07,Validation,Priyanka Desai,2026-07-22,Production,true,true,Critical,Low,79,0.36,CWE-1104 (Use of Unmaintained Third-Party Components),false,,,,VAPT,External Network Penetration Test,,,,,,,,,,,,,,,,,,,,
VULN-0010,CVE-2026-2538,Weak Password Hashing Algorithm (MD5),Weak Password Hashing Algorithm (MD5) affecting FRAUD-SVC-02. Category: Weak Cryptography. Identified during routine Rapid7 scan.,Medium,5.1,AST-025,APP-14,Rapid7,RAP-576862,5432,TCP,2026-05-28,2026-05-29,Validation,Rajiv Sinha,2026-06-27,Production,true,true,Low,Medium,46,0.23,CWE-916 (Use of Password Hash With Insufficient Computational Effort),false,,,,VAPT,External Network Penetration Test,,,,,,,,,,,,,,,,,,,,
VULN-0011,CVE-2026-2121,Cross-Site Scripting in React,Cross-Site Scripting in React affecting PAY-API-01. Category: Cross-Site Scripting. Identified during routine Tenable scan.,Medium,4.8,AST-001,APP-01,Tenable,TEN-848197,8443,SSH,2026-09-07,2026-09-09,Closed,Rahul Sharma,2026-10-07,Production,false,true,Low,Medium,39,0.64,CWE-79 (Cross-Site Scripting),false,,,,VAPT,Internal Network Vulnerability Assessment,,,,,,,,,,,,,,,,,,,,
VULN-0012,CVE-2026-5846,Weak TLS Configuration (TLS 1.0),Weak TLS Configuration (TLS 1.0) affecting IDP-01. Category: Weak Cryptography. Identified during routine Qualys scan.,Medium,5.3,AST-040,APP-24,Qualys,QUA-955504,22,TLS,2026-04-11,2026-04-13,Accepted Risk,Manish Tiwari,2026-05-11,Production,true,false,Medium,High,45,0.62,CWE-326 (Inadequate Encryption Strength),false,,,,VAPT,External Network Penetration Test,,,,,,,,,,,,,,,,,,,,
VULN-0013,CVE-2026-3594,Log4Shell Variant — Remote Code Execution,Log4Shell Variant — Remote Code Execution affecting FRAUD-SVC-01. Category: Remote Code Execution. Identified during routine Tenable scan.,Critical,9.2,AST-024,APP-14,Tenable,TEN-736596,1433,HTTP,2026-05-06,2026-05-08,New,,2026-05-13,Production,true,false,Medium,High,90,0.77,CWE-502 (Deserialization of Untrusted Data),false,,,,VAPT,External Network Penetration Test,,,,,,,,,,,,,,,,,,,,
VULN-0014,CVE-2026-3356,Buffer Overflow in glibc,Buffer Overflow in glibc affecting TREAS-DB-01. Category: Buffer Overflow. Identified during routine Rapid7 scan.,High,8.8,AST-029,APP-16,Rapid7,RAP-150598,443,HTTP,2026-04-28,2026-05-01,New,,2026-05-13,Production,true,true,High,High,81,0.01,CWE-120 (Buffer Overflow),false,,,,VAPT,External Network Penetration Test,,,,,,,,,,,,,,,,,,,,
VULN-0015,CVE-2026-7039,Privilege Escalation via Kernel Flaw,Privilege Escalation via Kernel Flaw affecting IDP-01. Category: Privilege Escalation. Identified during routine Tenable scan.,Critical,9.2,AST-040,APP-24,Tenable,TEN-380891,8080,TCP,2026-08-04,2026-08-05,Assigned,Manish Tiwari,2026-08-11,Production,true,false,High,Low,88,0.05,CWE-269 (Improper Privilege Management),false,,,,VAPT,External Network Penetration Test,,,,,,,,,,,,,,,,,,,,
VULN-0016,CVE-2026-1329,Improper Input Validation on File Upload,Improper Input Validation on File Upload affecting CRM-APP-01. Category: Improper Input Validation. Identified during routine Nessus scan.,High,8.1,AST-004,APP-02,Nessus,NES-710424,8080,TLS,2026-08-23,2026-08-25,Closed,Deepika Rao,2026-09-07,Production,false,false,Critical,Medium,66,0.02,CWE-434 (Unrestricted Upload of File with Dangerous Type),false,,,,VAPT,Internal Network Vulnerability Assessment,,,,,,,,,,,,,,,,,,,,
