id,scanner,file,records,newFindings,duplicates,updated,invalid,date,status,duration,findingType
IMP-2026-0019,Snyk,snyk_0909.json,2341,515,983,825,18,2026-09-09,Processed,1m 58s,SCA
IMP-2026-0020,Mend,mend_0908.csv,1182,260,496,417,9,2026-09-08,Processed,2m 22s,SCA
IMP-2026-0021,OWASP Dependency-Check,dependency-check-report-0907.xml,892,196,374,315,7,2026-09-07,Processed,1m 05s,SCA
IMP-2026-0017,SonarQube,sonarqube_0909.csv,2341,515,983,825,18,2026-09-09,Processed,1m 42s,SAST
IMP-2026-0018,OWASP ZAP,zap_0908.xml,1182,260,496,417,9,2026-09-08,Processed,2m 51s,DAST
IMP-2026-0001,Qualys,qualys_0909.xlsx,4821,1284,2143,1012,42,2026-09-09,Processed,2m 14s,VAPT
IMP-2026-0002,Nessus,nessus_0908.xlsx,2341,412,1104,812,13,2026-09-08,Processed,1m 08s,VAPT
IMP-2026-0003,Rapid7,rapid7_0907.xlsx,5680,932,2821,1904,23,2026-09-07,Processed,3m 42s,VAPT
IMP-2026-0004,Tenable,tenable_0906.xlsx,3192,601,1844,728,19,2026-09-06,Processed,1m 57s,VAPT
IMP-2026-0005,Qualys,qualys_0905.xlsx,4644,198,3112,1314,20,2026-09-05,Processed,2m 31s,VAPT
IMP-2026-0006,Nessus,nessus_0903.xlsx,2109,88,1621,384,16,2026-09-03,Failed,—,VAPT
IMP-2026-0007,Tenable,tenable_0823.xlsx,2102,1092,1145,777,34,2026-08-23,Processed,2m 04s,VAPT
IMP-2026-0008,Qualys,qualys_0822.xlsx,2736,1076,1717,525,21,2026-08-22,Failed,2m 30s,VAPT
IMP-2026-0009,Nessus,nessus_0815.xlsx,3465,867,2318,637,7,2026-08-15,Processed,3m 46s,VAPT
IMP-2026-0010,Qualys,qualys_0812.xlsx,4700,526,2992,534,9,2026-08-12,Processed,3m 49s,VAPT
IMP-2026-0011,Rapid7,rapid7_0805.xlsx,2947,1222,2797,533,13,2026-08-05,Failed,3m 11s,VAPT
IMP-2026-0012,Qualys,qualys_0803.xlsx,5769,1095,1485,1864,36,2026-08-03,Processed,3m 48s,VAPT
IMP-2026-0013,Qualys,qualys_0729.xlsx,2121,492,1022,1309,37,2026-07-29,Processed,1m 13s,VAPT
IMP-2026-0014,Tenable,tenable_0717.xlsx,3327,374,1773,1033,27,2026-07-17,Failed,3m 43s,VAPT
IMP-2026-0015,Nessus,nessus_0712.xlsx,3911,1300,1036,1459,17,2026-07-12,Processed,3m 55s,VAPT
IMP-2026-0016,Rapid7,rapid7_0626.xlsx,2576,208,1314,1357,23,2026-06-26,Processed,2m 15s,VAPT
