id,vulnerabilityId,type,status,reason,justification,compensatingControls,requestedBy,approvedBy,validFrom,validUntil
EXC-2026-0127,VULN-0004,False Positive,Pending Approval,Configuration is not applicable to this environment. The vulnerable code path is not reachable due to network topology controls.,The CVE-2024-2222 finding relates to Apache HTTP server path traversal. Our environment uses a custom reverse proxy configuration that prevents path traversal attempts at the network boundary. The specific vulnerable code path is not reachable in our deployment topology.,WAF Rule Enabled|Network Segmentation|Restricted Access,Security Operations,,2026-09-01,2026-11-30
EXC-2026-0128,VULN-0007,Accepted Risk,Rejected,Accepted Risk accepted for AST-038 pending compensating controls review.,Business justification recorded for CVE-2026-1503 on AST-038. Risk accepted by business owner given current compensating controls and low exploitability in this environment.,MFA Enforced,Sanya Mehta,Anita Rao,2026-04-13,2026-07-12
EXC-2026-0129,VULN-0021,Accepted Risk,Approved,Accepted Risk accepted for AST-030 pending compensating controls review.,Business justification recorded for CVE-2026-6555 on AST-030. Risk accepted by business owner given current compensating controls and low exploitability in this environment.,Restricted Access|Network Segmentation,Sanya Mehta,Anita Rao,2026-07-28,2026-10-26
EXC-2026-0130,VULN-0066,Accepted Risk,Pending Approval,Accepted Risk accepted for AST-037 pending compensating controls review.,Business justification recorded for CVE-2026-5139 on AST-037. Risk accepted by business owner given current compensating controls and low exploitability in this environment.,MFA Enforced,Sanya Mehta,Anita Rao,2026-08-11,2026-11-09
EXC-2026-0131,VULN-0109,Deferred Remediation,Rejected,Deferred Remediation accepted for AST-029 pending compensating controls review.,Business justification recorded for CVE-2026-2958 on AST-029. Risk accepted by business owner given current compensating controls and low exploitability in this environment.,IDS Monitoring,Sunita Iyer,Anita Rao,2026-08-03,2026-11-01
EXC-2026-0132,VULN-0078,Accepted Risk,Approved,Accepted Risk accepted for AST-019 pending compensating controls review.,Business justification recorded for CVE-2026-5400 on AST-019. Risk accepted by business owner given current compensating controls and low exploitability in this environment.,Restricted Access|IDS Monitoring,Sanya Mehta,Anita Rao,2026-08-14,2026-11-12
EXC-2026-0133,VULN-0111,Compensating Control,Pending Approval,Compensating Control accepted for AST-030 pending compensating controls review.,Business justification recorded for CVE-2026-7959 on AST-030. Risk accepted by business owner given current compensating controls and low exploitability in this environment.,MFA Enforced|WAF Rule Enabled|IDS Monitoring,Sunita Iyer,Anita Rao,2026-07-25,2026-10-23
EXC-2026-0134,VULN-0058,Compensating Control,Pending Approval,Compensating Control accepted for AST-022 pending compensating controls review.,Business justification recorded for CVE-2026-1422 on AST-022. Risk accepted by business owner given current compensating controls and low exploitability in this environment.,Restricted Access|MFA Enforced,Amit Kumar,Anita Rao,2026-07-04,2026-10-02
EXC-2026-0135,VULN-0043,Compensating Control,Approved,Compensating Control accepted for AST-042 pending compensating controls review.,Business justification recorded for CVE-2026-2009 on AST-042. Risk accepted by business owner given current compensating controls and low exploitability in this environment.,Restricted Access,Manish Tiwari,Anita Rao,2026-07-06,2026-10-04
EXC-2026-0136,VULN-0012,Compensating Control,Approved,Compensating Control accepted for AST-040 pending compensating controls review.,Business justification recorded for CVE-2026-5846 on AST-040. Risk accepted by business owner given current compensating controls and low exploitability in this environment.,Network Segmentation,Sanya Mehta,Anita Rao,2026-04-17,2026-07-16
EXC-2026-0137,VULN-0036,Accepted Risk,Approved,Accepted Risk accepted for AST-038 pending compensating controls review.,Business justification recorded for CVE-2026-5998 on AST-038. Risk accepted by business owner given current compensating controls and low exploitability in this environment.,Restricted Access|MFA Enforced,Anita Rao,Anita Rao,2026-07-15,2026-10-13
EXC-2026-0138,VULN-0082,Accepted Risk,Rejected,Accepted Risk accepted for AST-025 pending compensating controls review.,Business justification recorded for CVE-2026-3781 on AST-025. Risk accepted by business owner given current compensating controls and low exploitability in this environment.,Network Segmentation|IDS Monitoring,Deepika Rao,Anita Rao,2026-05-08,2026-08-06
EXC-2026-0139,VULN-0062,Deferred Remediation,Pending Approval,Deferred Remediation accepted for AST-019 pending compensating controls review.,Business justification recorded for CVE-2026-9040 on AST-019. Risk accepted by business owner given current compensating controls and low exploitability in this environment.,WAF Rule Enabled|MFA Enforced|IDS Monitoring,Priyanka Desai,Anita Rao,2026-07-08,2026-10-06
EXC-2026-0140,VULN-0070,False Positive,Approved,False Positive accepted for AST-023 pending compensating controls review.,Business justification recorded for CVE-2026-5995 on AST-023. Risk accepted by business owner given current compensating controls and low exploitability in this environment.,Restricted Access|WAF Rule Enabled|IDS Monitoring,Priyanka Desai,Anita Rao,2026-06-21,2026-09-19
EXC-2026-0141,VULN-0027,Compensating Control,Approved,Compensating Control accepted for AST-035 pending compensating controls review.,Business justification recorded for CVE-2026-8973 on AST-035. Risk accepted by business owner given current compensating controls and low exploitability in this environment.,Restricted Access|Network Segmentation,Suresh Iyer,Anita Rao,2026-08-14,2026-11-12
EXC-2026-0142,VULN-0002,Deferred Remediation,Approved,Deferred Remediation accepted for AST-001.,Business justification recorded for CVE-2025-1111 on AST-001.,Network Segmentation|Restricted Access,Priyanka Desai,Anita Rao,2026-09-04,2026-12-03
